Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
EDUCACAO;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"ENSINO SUPERIOR";325.617.894,33;301.021.096,72;297.954.979,68
SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";10.985.451,86;10.130.618,05;9.949.478,41
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ASSISTENCIA AO PORTADOR DE DEFICIENCIA";237.977.227,51;49.363.131,28;48.815.426,16
"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"PREVIDENCIA ESPECIAL";47.624.637,66;47.624.637,66;47.624.637,66
"CIENCIA E TECNOLOGIA";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"DESENVOLVIMENTO TECNOLOGICO E ENGENHARIA";5.473.600,00;5.473.600,00;5.473.600,00
SAUDE;"FUNDO ESTADUAL DE SAUDE";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";7.283.219,73;7.283.219,73;7.283.219,73
TRANSPORTE;"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"TRANSPORTE RODOVIARIO";34.016.067,74;30.873.192,50;30.369.684,49
TRANSPORTE;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"TRANSPORTE RODOVIARIO";1.140.973.989,55;505.716.756,59;500.556.031,22
SANEAMENTO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"SANEAMENTO BASICO RURAL";5.655.880,33;0,00;0,00
TRANSPORTE;"SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE";"TRANSPORTE FERROVIARIO";2.466.350,37;1.975.600,37;1.294.320,50
SAUDE;"FUNDO ESTADUAL DE SAUDE";"DESENVOLVIMENTO CIENTIFICO";0,00;0,00;0,00
