Funcao;Orgao;Subfuncao;Valor Empenhado;Valor Liquidado;Valor Pago
LEGISLATIVA;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;CONTROLE EXTERNO;543.737.719,13;541.529.389,23;540.495.546,81
EDUCACAO;SECRETARIA DE ESTADO DE EDUCACAO;TRANSPORTE RODOVIARIO;552.606.571,65;538.957.924,63;537.782.222,48
EDUCACAO;SECRETARIA DE ESTADO DE EDUCACAO;EDUCACAO INFANTIL;5.279.528,25;5.279.528,25;5.279.528,25
EDUCACAO;SECRETARIA DE ESTADO DE EDUCACAO;EDUCACAO DE JOVENS E ADULTOS;98.289.716,39;98.289.056,52;98.289.056,52
DESPORTO E LAZER;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;EDUCACAO DE JOVENS E ADULTOS;5.691.927,15;5.684.203,42;5.505.366,13
URBANISMO;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;INFRA-ESTRUTURA URBANA;430.877.766,45;376.279.868,70;299.522.465,11
ADMINISTRACAO;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;TECNOLOGIA DA INFORMACAO;489.613,17;282.133,17;281.398,37
ENCARGOS ESPECIAIS;FUNDO DE ASSISTENCIA AO PECULIO DOS SERVIDORES DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;2.296.079,84;2.296.079,74;2.287.464,30
ENCARGOS ESPECIAIS;FUNDO FINANCEIRO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS;OUTROS ENCARGOS ESPECIAIS;1.414.969,41;1.414.969,41;1.413.541,34
SAUDE;INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;ASSISTENCIA HOSPITALAR E AMBULATORIAL;722.757.183,24;713.587.136,56;698.735.103,81
JUDICIARIA;FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS;ACAO JUDICIARIA;1.384.323.669,57;1.143.772.583,07;1.048.589.130,52
CIENCIA E TECNOLOGIA;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO;3.037.311,75;2.873.691,10;2.875.093,48
ADMINISTRACAO;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;ADMINISTRACAO GERAL;13.181.744,41;12.707.884,72;12.257.260,62
ADMINISTRACAO;FUNDACAO TV MINAS CULTURAL E EDUCATIVA;ADMINISTRACAO GERAL;11.888.361,38;11.367.087,45;10.967.106,94
