Ano;Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
2023;"RELACOES EXTERIORES";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"COOPERACAO INTERNACIONAL";246.605,33;207.753,45;207.450,90
2023;"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"PROMOCAO COMERCIAL";3.084.897,73;2.936.672,32;2.936.805,02
2023;ENERGIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";BIOCOMBUSTIVEIS;197.824,61;135.121,07;134.944,87
2023;"ENCARGOS ESPECIAIS";"FUNDACAO CLOVIS SALGADO";"OUTROS ENCARGOS ESPECIAIS";256.083,99;256.083,99;227.659,99
2023;"ENCARGOS ESPECIAIS";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";25.791,85;25.791,85;25.791,85
2023;URBANISMO;"FUNDO DE DESENVOLVIMENTO METROPOLITANO";"ORDENAMENTO TERRITORIAL";642.263,80;117.876,60;111.786,29
2023;"COMERCIO E SERVICOS";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"NORMATIZACAO E FISCALIZACAO";16.712.529,77;16.363.287,84;16.175.357,71
2023;"PREVIDENCIA SOCIAL";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";285.308.012,07;285.308.012,07;285.308.012,07
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE COMUNICACAO SOCIAL";"ADMINISTRACAO GERAL";2.300.700,89;2.052.416,43;2.049.977,00
2023;"COMERCIO E SERVICOS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";517.059,53;486.504,88;486.504,88
2023;"ENCARGOS ESPECIAIS";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"OUTRAS TRANSFERENCIAS";8.420.093,00;7.721.202,37;7.721.202,37
2023;SAUDE;"FUNDO ESTADUAL DE SAUDE";"ATENCAO BASICA";843.774.238,43;645.499.497,17;637.725.138,90
2023;"GESTAO AMBIENTAL";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"RECURSOS HIDRICOS";61.163.896,25;59.964.955,26;59.497.977,33
2023;AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA";IRRIGACAO;1.251.477,83;450.995,08;450.995,08
2023;"SEGURANCA PUBLICA";"FUNDO PENITENCIARIO ESTADUAL";"CUSTODIA E REINTEGRACAO SOCIAL";35.964.256,58;18.026.799,12;13.679.410,06
2023;"ESSENCIAL A JUSTICA";"PROCURADORIA GERAL DE JUSTICA";"DEFESA DO INTERESSE PUBLICO NO PROCESSO JUDICIARIO";908.646.445,46;905.919.477,53;905.927.699,69
2023;EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO ESPECIAL";957.594.340,91;957.464.740,91;957.464.740,91
2023;EDUCACAO;"FUNDACAO CLOVIS SALGADO";"ENSINO PROFISSIONAL";3.707.115,42;3.664.971,30;3.649.557,65
2023;TRABALHO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";"ENSINO PROFISSIONAL";1.830.411,55;1.645.444,31;1.639.105,87
2023;"GESTAO AMBIENTAL";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"PRESERVACAO E CONSERVACAO AMBIENTAL";443.247,47;443.247,47;376.190,87
2023;"SEGURANCA PUBLICA";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"TRANSPORTE RODOVIARIO";1.779.067,05;1.664.363,83;1.657.810,18
2023;"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE GOVERNO";COMERCIALIZACAO;356.247,70;56.649,20;55.495,59
2023;AGRICULTURA;"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"PROMOCAO DA PRODUCAO AGROPECUARIA";8.548.507,50;8.548.507,50;8.548.507,50
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE GOVERNO";"COMUNICACAO SOCIAL";1.651.512,22;964.648,03;961.396,12
2023;EDUCACAO;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";61.636.883,75;61.636.883,75;61.630.758,95
2023;"ENCARGOS ESPECIAIS";"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";120.026,42;120.026,42;112.237,42
2023;"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"NORMATIZACAO E FISCALIZACAO";96.231.940,75;61.107.432,79;52.466.637,29
2023;"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";5.823.899.710,62;5.823.899.710,62;5.823.899.710,62
2023;ADMINISTRACAO;"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";7.003.644,30;6.886.808,31;6.369.403,33
2023;ADMINISTRACAO;"INSTITUTO ESTADUAL DE FLORESTAS";"ADMINISTRACAO GERAL";75.594.253,08;74.614.087,21;73.869.942,63
2023;SAUDE;"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";3.993.554,04;3.588.157,39;3.338.447,84
2023;"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.992.235,59;1.992.235,59;1.992.235,59
2023;INDUSTRIA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";MINERACAO;3.481.927,47;2.123.559,82;2.094.441,74
2023;ADMINISTRACAO;"SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS";"ADMINISTRACAO DE CONCESSOES";4.808.967,12;4.383.346,92;4.313.407,14
2023;"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"CUSTODIA E REINTEGRACAO SOCIAL";2.372.756.095,50;2.284.074.547,92;2.271.212.243,75
2023;"ESSENCIAL A JUSTICA";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";219.473,91;164.589,13;162.562,16
2023;EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ALIMENTACAO E NUTRICAO";638.488.072,28;631.395.633,88;615.871.848,63
2023;"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ENSINO PROFISSIONAL";15.423.135,02;8.404.200,46;7.461.042,60
