Funcao;Orgao;Subfuncao;"Valor Empenhado";"Valor Liquidado";"Valor Pago"
"GESTAO AMBIENTAL";"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"ADMINISTRACAO GERAL";19.404.614,39;19.289.775,31;19.163.213,65
ADMINISTRACAO;"CONTROLADORIA-GERAL DO ESTADO";"ADMINISTRACAO GERAL";33.110.595,45;32.885.730,33;32.802.926,64
ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"ADMINISTRACAO GERAL";37.252.480,42;36.427.281,66;35.582.052,76
ADMINISTRACAO;"CIDADE ADMINISTRATIVA";"ADMINISTRACAO GERAL";83.457.137,61;65.064.317,53;38.326.486,26
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";52.901.511,90;42.270.164,09;39.656.435,40
LEGISLATIVA;"FUNDO DO TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";52.000,00;0,00;0,00
TRABALHO;"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"ADMINISTRACAO GERAL";5.723.738,58;5.511.745,87;5.220.737,60
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";POLICIAMENTO;258.210.039,10;210.346.297,56;108.095.964,84
CULTURA;"FUNDACAO DE ARTE DE OURO PRETO";"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO";145.107,90;137.833,95;133.727,03
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";5.730.920,75;4.984.736,01;4.961.207,06
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"ALIMENTACAO E NUTRICAO";128.929,92;78.929,92;77.781,42
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"PLANEJAMENTO E ORCAMENTO";1.087.816,09;346.085,71;336.936,60
"ORGANIZACAO AGRARIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"REFORMA AGRARIA";794.957,03;794.957,03;795.904,03
CULTURA;"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";TELECOMUNICACOES;3.106.561,88;1.740.835,49;1.318.802,07
TRABALHO;"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"ENSINO PROFISSIONAL";9.026,58;7.026,58;7.026,58
ADMINISTRACAO;"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"PROTECAO E BENEFICIOS AO TRABALHADOR";3.695.575,35;3.411.480,72;3.167.682,37
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"INFRA-ESTRUTURA URBANA";37.277.799,67;6.077.003,67;6.022.102,28
ADMINISTRACAO;"SECRETARIA DE ESTADO DE GOVERNO";"TECNOLOGIA DA INFORMACAO";336.834,74;258.632,39;247.764,51
"SEGURANCA PUBLICA";"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"TECNOLOGIA DA INFORMACAO";8.230.684,52;6.669.018,17;3.249.388,99
EDUCACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"EDUCACAO BASICA";18.372,33;16.733,92;14.207,48
SAUDE;"FUNDO ESTADUAL DE SAUDE";"VIGILANCIA EPIDEMIOLOGICA";861.521.232,24;64.447.681,70;32.597.048,82
"ENCARGOS ESPECIAIS";"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";4.590.729,08;4.590.729,08;4.586.467,67
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"CONTROLE INTERNO";200.597,71;195.735,21;194.365,56
ADMINISTRACAO;"SECRETARIA DE ESTADO DE GOVERNO";"ADMINISTRACAO GERAL";143.797.722,80;121.242.885,53;116.719.079,37
URBANISMO;"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"ADMINISTRACAO GERAL";1.472.232,69;1.441.562,96;1.438.627,80
TRANSPORTE;"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";160.678.772,47;156.683.728,21;153.931.770,13
EDUCACAO;"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";149.877.866,92;149.857.619,72;149.952.666,49
CULTURA;"EMPRESA MINEIRA DE COMUNICACAO";"ADMINISTRACAO GERAL";10.121.950,90;10.121.950,90;10.121.950,90
TRANSPORTE;"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"ADMINISTRACAO DE CONCESSOES";6.926.882,66;5.190.952,03;5.102.261,47
"ASSISTENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ASSISTENCIA COMUNITARIA";840.871,24;799.457,67;799.457,67
"SEGURANCA PUBLICA";"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"CUSTODIA E REINTEGRACAO SOCIAL";308.817,70;275.385,90;276.227,48
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"FORMACAO DE RECURSOS HUMANOS";820.627,00;707.931,62;671.265,92
ADMINISTRACAO;"FUNDACAO JOAO PINHEIRO";"PLANEJAMENTO E ORCAMENTO";189.673,47;112.890,01;115.334,06
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ENSINO PROFISSIONAL";13.280.679,94;2.631.274,72;2.396.250,21
CULTURA;"FUNDACAO CLOVIS SALGADO";"ENSINO PROFISSIONAL";944.239,82;944.239,79;944.239,79
HABITACAO;"FUNDO ESTADUAL DE HABITACAO";"HABITACAO URBANA";18.860.174,21;17.838.209,38;17.810.322,90
SAUDE;"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";2.525.106,33;2.525.106,33;2.525.106,33
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";321.853,74;254.115,53;8.135,31
"COMERCIO E SERVICOS";"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"PROMOCAO COMERCIAL";425.129,00;313.325,00;313.325,00
"ENCARGOS ESPECIAIS";"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";55.536,54;55.536,54;51.965,07
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";448.157.449,39;448.157.449,39;448.157.449,39
ADMINISTRACAO;"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"ADMINISTRACAO GERAL";9.374.054,13;9.374.054,13;9.374.054,13
URBANISMO;"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"ADMINISTRACAO GERAL";10.006.207,07;9.970.519,22;9.907.881,39
SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ADMINISTRACAO GERAL";88.150.387,14;88.150.387,14;88.150.387,14
AGRICULTURA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"OUTRAS TRANSFERENCIAS";3.696.582,00;3.696.582,00;3.696.582,00
"ASSISTENCIA SOCIAL";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"ASSISTENCIA COMUNITARIA";69.637.253,04;36.644.391,91;35.645.355,57
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";POLICIAMENTO;11.032.097,52;11.028.021,92;9.789.199,02
CULTURA;"FUNDACAO DE ARTE DE OURO PRETO";"DIFUSAO CULTURAL";349.173,01;306.501,55;272.748,33
CULTURA;"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO";2.776.526,28;2.041.209,29;2.028.143,60
"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";5.564,08;5.564,08;5.851,08
SAUDE;"FUNDACAO EZEQUIEL DIAS";"FORMACAO DE RECURSOS HUMANOS";117.775,03;117.775,03;117.811,50
SAUDE;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";207.539,55;201.516,52;204.579,75
LEGISLATIVA;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"CONTROLE EXTERNO";487.215.489,43;484.311.864,25;483.707.230,28
"ASSISTENCIA SOCIAL";"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"ASSISTENCIA AO PORTADOR DE DEFICIENCIA";6.745.238,76;6.745.238,76;6.745.238,76
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";2.153,00;2.153,00;2.153,00
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"TRANSPORTE RODOVIARIO";318.879.885,49;316.377.390,80;316.090.213,73
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";COMERCIALIZACAO;8.140,99;2.960,99;2.960,99
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO INFANTIL";2.508.025,77;2.508.025,77;2.508.025,77
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"EDUCACAO DE JOVENS E ADULTOS";273.229.034,02;273.219.986,72;274.341.260,82
"CIENCIA E TECNOLOGIA";"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"DESENVOLVIMENTO CIENTIFICO";8.315.822,92;7.258.855,45;7.105.971,20
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"PROMOCAO DA PRODUCAO AGROPECUARIA";12.233.960,26;9.302.424,02;8.889.167,41
TRANSPORTE;"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"TRANSPORTE AEREO";846.368,71;846.368,71;846.368,71
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";568.993.897,35;545.211.007,72;533.048.784,00
JUDICIARIA;"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"ACAO JUDICIARIA";1.068.523.769,55;923.634.703,46;860.485.095,28
SANEAMENTO;"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"NORMALIZACAO E QUALIDADE";164.122,78;163.615,01;170.889,62
"GESTAO AMBIENTAL";"INSTITUTO ESTADUAL DE FLORESTAS";"ADMINISTRACAO GERAL";97.070.578,56;95.244.366,86;94.728.220,26
ADMINISTRACAO;"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"ADMINISTRACAO GERAL";10.879.928,08;10.151.643,71;9.890.668,95
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ADMINISTRACAO GERAL";646.627.932,18;621.845.174,63;605.260.457,49
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"ADMINISTRACAO GERAL";695.109,45;652.552,40;597.263,57
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"ADMINISTRACAO GERAL";47.945.189,80;45.012.137,90;43.443.364,83
"DIREITOS DA CIDADANIA";"FUNDO DE PAGAMENTO DE PARCERIAS PUBLICO-PRIVADAS DE MINAS GERAIS";"ADMINISTRACAO DE CONCESSOES";51.658.163,16;46.313.808,10;41.446.565,11
"ENCARGOS ESPECIAIS";"GESTAO DA DIVIDA PUBLICA ESTADUAL";"SERVICO DA DIVIDA INTERNA";7.520.814.512,98;6.969.775.316,74;44.880.401,57
HABITACAO;"FUNDO DE APOIO HABITACIONAL DA ASSEMBLEIA LEGISLATIVA DE MINAS GERAIS";"HABITACAO URBANA";4.145.941,54;3.935.941,54;3.621.726,25
"GESTAO AMBIENTAL";"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"PRESERVACAO E CONSERVACAO AMBIENTAL";3.051.614,08;3.050.185,04;3.050.879,44
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE CASA CIVIL E DE RELACOES INSTITUCIONAIS";COMERCIALIZACAO;6.072,20;6.072,20;5.920,40
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE ESPORTES";"EDUCACAO DE JOVENS E ADULTOS";6.520.504,26;6.517.829,76;6.340.942,41
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"TECNOLOGIA DA INFORMACAO";110.073,09;106.273,19;106.273,19
"ENCARGOS ESPECIAIS";"FUNDACAO JOAO PINHEIRO";"OUTROS ENCARGOS ESPECIAIS";63.086,44;63.086,44;63.086,44
"ENCARGOS ESPECIAIS";"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";96.992.619,20;96.992.619,20;93.517.935,02
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"INFORMACAO E INTELIGENCIA";8.049.342,91;7.766.325,90;6.005.750,55
"PREVIDENCIA SOCIAL";"PROCURADORIA GERAL DE JUSTICA";"PREVIDENCIA DO REGIME ESTATUTARIO";509.388.883,19;509.388.883,19;509.388.883,19
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";866.313.331,50;692.428.270,50;665.893.194,34
SAUDE;"FUNDO ESTADUAL DE SAUDE";"ACAO JUDICIARIA";160.328.023,10;120.919.744,19;87.024.096,48
"CIENCIA E TECNOLOGIA";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"DIFUSAO DO CONHECIMENTO CIENTIFICO E TECNOLOGICO";140.282.015,00;139.295.837,63;52.583.921,39
"ESSENCIAL A JUSTICA";"ADVOCACIA GERAL DO ESTADO";"ADMINISTRACAO GERAL";196.613.132,17;195.975.245,04;195.251.994,73
ADMINISTRACAO;"EGE-SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"ADMINISTRACAO GERAL";15.654.092,87;11.625.977,77;11.376.157,81
SAUDE;"FUNDACAO EZEQUIEL DIAS";"ADMINISTRACAO GERAL";96.968.223,87;90.273.712,54;87.853.052,57
"CIENCIA E TECNOLOGIA";"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";22.186.135,96;20.426.687,25;19.711.473,11
"CIENCIA E TECNOLOGIA";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";25.718.420,96;25.339.722,38;24.354.426,72
"DESPORTO E LAZER";"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"ADMINISTRACAO GERAL";1.590.870,32;1.146.525,40;1.083.043,49
CULTURA;"FUNDACAO CLOVIS SALGADO";"ADMINISTRACAO GERAL";31.195.996,31;30.137.517,50;28.356.762,26
AGRICULTURA;"INSTITUTO MINEIRO DE AGROPECUARIA";"DEFESA AGROPECUARIA";3.967.484,26;3.169.778,12;3.171.021,85
"DIREITOS DA CIDADANIA";"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"ASSISTENCIA COMUNITARIA";199.085,88;2.634,10;2.634,10
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";POLICIAMENTO;17.362.208,34;16.423.577,41;12.795.526,91
CULTURA;"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"DIFUSAO CULTURAL";88.485,00;88.485,00;0,00
"GESTAO AMBIENTAL";"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"RECURSOS HIDRICOS";2.106.344,64;1.991.734,28;1.854.316,92
SAUDE;"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"CUSTODIA E REINTEGRACAO SOCIAL";22.823.303,10;12.470.040,80;11.013.704,98
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"FORMACAO DE RECURSOS HUMANOS";10.000,00;7.650,00;7.650,00
ADMINISTRACAO;"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"ADMINISTRACAO DE RECEITAS";17.043.243,62;14.995.730,14;12.933.179,61
"SEGURANCA PUBLICA";"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"ENSINO PROFISSIONAL";23.270,10;23.270,10;23.358,10
EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ENSINO MEDIO";8.926.536,93;7.521.317,64;7.495.601,64
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS";9.972.246,89;9.972.246,89;9.972.246,89
EDUCACAO;"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"INFRA-ESTRUTURA URBANA";9.113.538,13;4.232.520,05;4.231.403,69
EDUCACAO;"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"ENSINO FUNDAMENTAL";57.241.001,10;56.934.383,51;56.035.748,61
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"TECNOLOGIA DA INFORMACAO";42.337.193,63;27.420.949,93;21.917.391,89
"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"TECNOLOGIA DA INFORMACAO";7.970.979,86;6.462.193,36;5.909.001,36
ADMINISTRACAO;"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"ADMINISTRACAO FINANCEIRA";484.194.264,07;446.154.201,27;144.860.795,21
ADMINISTRACAO;"PARTICIPACAO NO AUMENTO DO CAPITAL SOCIAL DE EMPRESAS";"ADMINISTRACAO FINANCEIRA";80.000.000,00;57.457.711,49;57.457.711,49
"ENCARGOS ESPECIAIS";"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"OUTROS ENCARGOS ESPECIAIS";10.151.776.306,41;9.845.181.924,33;9.845.181.924,33
"ENCARGOS ESPECIAIS";"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";243.205.530,91;243.178.524,31;240.293.392,16
"ENCARGOS ESPECIAIS";"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"OUTROS ENCARGOS ESPECIAIS";2.376.890,77;2.376.890,73;2.298.566,32
"ENCARGOS ESPECIAIS";"LOTERIA DO ESTADO DE MINAS GERAIS";"OUTROS ENCARGOS ESPECIAIS";1.877.780,76;1.877.780,76;1.877.780,76
"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"PREVIDENCIA DO REGIME ESTATUTARIO";1.417.319.943,64;1.412.231.643,75;982.753.930,16
EDUCACAO;"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";44.360.545,32;36.287.664,81;28.694.697,97
JUDICIARIA;"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";32.089.822,00;32.089.822,00;32.093.655,74
ADMINISTRACAO;"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";142.604,60;137.396,49;137.480,41
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";277.446.530,71;267.309.832,05;264.164.006,61
"COMERCIO E SERVICOS";"LOTERIA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";2.071.867,37;2.052.376,85;2.038.185,13
LEGISLATIVA;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";493.775.480,38;431.847.191,12;422.021.395,52
EDUCACAO;"FUNDACAO HELENA ANTIPOFF";"ASSISTENCIA COMUNITARIA";638.997,99;128.969,55;128.969,55
CULTURA;"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"PATRIMONIO HISTORICO, ARTISTICO E ARQUEOLOGICO";17.798.281,10;17.658.281,10;15.379.836,06
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"RECURSOS HIDRICOS";8.181.802,90;7.093.052,51;5.737.500,67
LEGISLATIVA;"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";1.374.527,43;1.374.527,43;1.357.334,52
AGRICULTURA;"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"ENSINO PROFISSIONAL";295.327,55;295.327,55;295.327,55
ADMINISTRACAO;"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"PREVIDENCIA ESPECIAL";164.587.987,52;164.587.987,52;164.587.987,52
CULTURA;"FUNDACAO DE ARTE DE OURO PRETO";"EDUCACAO DE JOVENS E ADULTOS";114.971,63;58.477,55;45.951,50
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE CULTURA E TURISMO";TURISMO;439.415,05;376.819,69;376.938,61
AGRICULTURA;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"PROMOCAO DA PRODUCAO AGROPECUARIA";741.530,99;234.800,00;169.850,00
ADMINISTRACAO;"SECRETARIA DE ESTADO DE FAZENDA";"ADMINISTRACAO FINANCEIRA";2.204.607,35;2.119.115,59;1.716.724,82
EDUCACAO;"FUNDACAO EDUCACIONAL CAIO MARTINS";"ASSISTENCIA A CRIANCA E AO ADOLESCENTE";692.238,57;476.980,26;271.907,61
"DESPORTO E LAZER";"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"DESPORTO COMUNITARIO";1.075,00;1.075,00;0,00
"ENCARGOS ESPECIAIS";"GESTAO DA DIVIDA PUBLICA ESTADUAL";"OUTROS ENCARGOS ESPECIAIS";326.632.547,07;326.632.547,07;280.812.615,39
SAUDE;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";95.026.241,60;69.432.180,78;37.067.959,83
LEGISLATIVA;"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"ACAO LEGISLATIVA";528.538.593,22;490.772.557,42;490.786.739,06
"ENCARGOS ESPECIAIS";"GESTAO DA DIVIDA PUBLICA ESTADUAL";"SERVICO DA DIVIDA EXTERNA";1.722.950.151,37;1.159.848.018,77;0,00
"CIENCIA E TECNOLOGIA";"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"NORMALIZACAO E QUALIDADE";421.987,77;421.987,77;478.548,58
ADMINISTRACAO;"EGE SEC.FAZENDA-ENCARGOS DIVERSOS";"ADMINISTRACAO GERAL";11.651.081,74;10.129.006,67;8.874.214,96
ADMINISTRACAO;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"ADMINISTRACAO GERAL";4.748.410,09;4.748.410,09;4.748.410,09
SAUDE;"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.179.581.870,95;1.173.657.881,17;1.155.467.961,99
SAUDE;"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"ATENCAO BASICA";628.000,00;220.374,00;195.534,88
"SEGURANCA PUBLICA";"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"DEFESA CIVIL";53.271.818,21;31.508.474,53;29.620.429,86
SAUDE;"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";5.621,21;5.621,21;671,21
"DIREITOS DA CIDADANIA";"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"FORMACAO DE RECURSOS HUMANOS";33.263,20;33.263,20;32.917,28
"ESSENCIAL A JUSTICA";"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"REPRESENTACAO JUDICIAL E EXTRAJUDICIAL";26.796.573,21;22.018.061,89;21.720.505,58
EDUCACAO;"SECRETARIA DE ESTADO DE EDUCACAO";"ENSINO MEDIO";2.460.296.544,37;2.450.298.200,20;2.423.595.318,47
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE TURISMO";TURISMO;311.808,24;311.808,24;161.492,60
ADMINISTRACAO;SECRETARIA-GERAL;"COMUNICACAO SOCIAL";25.073.609,99;8.786.710,50;6.753.431,33
"ENCARGOS ESPECIAIS";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"OUTROS ENCARGOS ESPECIAIS";29.934,23;29.934,23;28.487,54
"ENCARGOS ESPECIAIS";"ADVOCACIA GERAL DO ESTADO";"OUTROS ENCARGOS ESPECIAIS";70.608.638,69;70.547.086,97;19.012.479,76
"GESTAO AMBIENTAL";"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"CONTROLE AMBIENTAL";932.680,92;673.824,59;646.779,70
"ESSENCIAL A JUSTICA";"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"ACAO JUDICIARIA";5.881.811,87;4.769.707,30;4.597.215,66
"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";1.616.532,68;1.575.033,60;1.575.805,20
"PREVIDENCIA SOCIAL";"INSTITUTO DE PREVIDENCIA DO LEGISLATIVO DO ESTADO DE MINAS GERAIS";"ADMINISTRACAO GERAL";4.584.636,78;4.584.636,78;4.584.636,78
TRANSPORTE;"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"ADMINISTRACAO GERAL";16.534.979,52;14.710.306,76;14.654.771,79
SAUDE;"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"ADMINISTRACAO GERAL";10.596.447,67;10.596.447,67;10.596.447,67
"COMERCIO E SERVICOS";"SECRETARIA DE ESTADO DE TURISMO";"ADMINISTRACAO GERAL";4.695.471,63;4.692.497,55;4.645.059,99
AGRICULTURA;"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"EXTENSAO RURAL";1.446,00;1.446,00;1.446,00
